    PID TTY      STAT   TIME COMMAND
    109 ?        I<     0:00 [kworker/R-tpm_d]
    110 ?        I<     0:00 [kworker/R-ata_s]
    111 ?        I<     0:00 [kworker/R-md]
    112 ?        I<     0:00 [kworker/R-md_bi]
    113 ?        I<     0:00 [kworker/R-edac-]
    115 ?        I<     0:00 [kworker/R-devfr]
    116 ?        S      0:00 [watchdogd]
    117 ?        I<     0:00 [kworker/2:1H-kblockd]
    118 ?        S      0:00 [kswapd0]
    119 ?        S      0:00 [ecryptfs-kthread]
    120 ?        I<     0:00 [kworker/R-kthro]
    124 ?        I      0:00 [kworker/7:1-events]
    125 ?        I      0:00 [kworker/8:1-events]
    129 ?        I<     0:00 [kworker/R-acpi_]
    130 ?        I<     0:00 [kworker/R-mld]
    131 ?        I<     0:00 [kworker/R-ipv6_]
    133 ?        I<     0:00 [kworker/1:1H-kblockd]
    141 ?        I<     0:00 [kworker/R-kstrp]
    143 ?        I<     0:00 [kworker/u67:0]
    145 ?        I<     0:00 [kworker/u69:0-ttm]
    151 ?        I<     0:00 [kworker/R-crypt]
    162 ?        I<     0:00 [kworker/R-charg]
    196 ?        I<     0:00 [kworker/10:1H-kblockd]
    203 ?        I<     0:00 [kworker/3:1H-kblockd]
    204 ?        I<     0:00 [kworker/0:1H-kblockd]
    213 ?        I<     0:00 [kworker/5:1H-kblockd]
    214 ?        I<     0:00 [kworker/6:1H-kblockd]
    215 ?        I<     0:00 [kworker/7:1H-kblockd]
    216 ?        I<     0:00 [kworker/8:1H-kblockd]
    217 ?        I<     0:00 [kworker/4:1H-kblockd]
    219 ?        I<     0:00 [kworker/11:1H-kblockd]
    223 ?        I<     0:00 [kworker/9:1H-kblockd]
    239 ?        S      0:00 [scsi_eh_0]
    240 ?        I<     0:00 [kworker/R-scsi_]
    242 ?        S      0:00 [scsi_eh_1]
    243 ?        I<     0:00 [kworker/R-scsi_]
    244 ?        S      0:00 [scsi_eh_2]
    245 ?        I<     0:00 [kworker/R-scsi_]
    246 ?        S      0:00 [scsi_eh_3]
    247 ?        I<     0:00 [kworker/R-scsi_]
    248 ?        S      0:00 [scsi_eh_4]
    249 ?        I<     0:00 [kworker/R-scsi_]
    250 ?        S      0:00 [scsi_eh_5]
    251 ?        I<     0:00 [kworker/R-scsi_]
    252 ?        S      0:00 [scsi_eh_6]
    254 ?        I<     0:00 [kworker/R-scsi_]
    255 ?        S      0:00 [scsi_eh_7]
    256 ?        I<     0:00 [kworker/R-scsi_]
    260 ?        S      0:00 [scsi_eh_8]
    262 ?        I<     0:00 [kworker/R-scsi_]
    267 ?        S      0:00 [scsi_eh_9]
    268 ?        I<     0:00 [kworker/R-scsi_]
    270 ?        S      0:00 [scsi_eh_10]
    271 ?        I<     0:00 [kworker/R-scsi_]
    296 ?        S      0:00 [scsi_eh_11]
    297 ?        I<     0:00 [kworker/R-scsi_]
    298 ?        S      0:00 [usb-storage]
    299 ?        I<     0:00 [kworker/R-uas]
    331 ?        I<     0:00 [kworker/R-raid5]
    381 ?        S      0:00 [jbd2/sdb3-8]
    382 ?        I<     0:00 [kworker/R-ext4-]
    442 ?        S<s    0:00 /usr/lib/systemd/systemd-journald
    470 ?        I      0:00 [kworker/9:2-mm_percpu_wq]
    475 ?        I<     0:00 [kworker/R-nvme-]
    476 ?        I<     0:00 [kworker/R-nvme-]
    477 ?        I<     0:00 [kworker/R-nvme-]
    478 ?        I<     0:00 [kworker/R-nvme-]
    479 ?        I<     0:00 [kworker/R-rpcio]
    480 ?        I<     0:00 [kworker/R-xprti]
    527 ?        Ss     0:00 /usr/lib/systemd/systemd-udevd
    531 ?        S      0:00 [psimon]
    913 ?        S      0:00 [jbd2/sda1-8]
    914 ?        I<     0:00 [kworker/R-ext4-]
    918 ?        I<     0:00 [kworker/R-amdgp]
    919 ?        D      0:00 [jbd2/sdb4-8]
    920 ?        I<     0:00 [kworker/R-ext4-]
    924 ?        I<     0:00 [kworker/R-ttm]
    925 ?        I<     0:00 [kworker/R-amdgp]
    926 ?        I<     0:00 [kworker/R-amdgp]
    927 ?        I<     0:00 [kworker/R-amdgp]
    928 ?        I<     0:00 [kworker/R-dm_vb]
    929 ?        S      0:00 [card1-crtc0]
    930 ?        S      0:00 [card1-crtc1]
    931 ?        S      0:00 [card1-crtc2]
    932 ?        S      0:00 [card1-crtc3]
    943 ?        S<     0:00 [spl_system_task]
    944 ?        S<     0:00 [spl_delay_taskq]
    945 ?        S<     0:00 [spl_dynamic_tas]
    946 ?        S<     0:00 [spl_kmem_cache]
    948 ?        S<     0:00 [zvol]
    949 ?        S      0:00 [arc_prune]
    950 ?        S      0:00 [arc_evict]
    951 ?        SN     0:00 [arc_reap]
    952 ?        S      0:00 [dbu_evict]
    953 ?        SN     0:00 [dbuf_evict]
    954 ?        SN     0:00 [z_vdev_file]
    955 ?        S      0:00 [l2arc_feed]
   1046 ?        Ss     0:00 /sbin/rpcbind -f -w
   1063 ?        Ss     0:00 /usr/lib/systemd/systemd-resolved
   1064 ?        Ssl    0:00 /usr/lib/systemd/systemd-timesyncd
   1081 ?        Ss     0:00 /usr/sbin/blkmapd
   1118 ?        Ss     0:00 /usr/sbin/nfsdcld
   1156 ?        Ssl    0:00 /usr/libexec/accounts-daemon
   1158 ?        Ss     0:00 avahi-daemon: running [a108pc12.local]
   1160 ?        Ss     0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1164 ?        Ss     0:00 /usr/sbin/fsidd
   1178 ?        Ssl    0:00 /usr/sbin/irqbalance
   1202 ?        Ssl    0:00 /usr/lib/polkit-1/polkitd --no-debug
   1203 ?        Ssl    0:00 /usr/libexec/power-profiles-daemon
   1207 ?        Ssl    0:00 /usr/bin/prometheus-node-exporter
   1212 ?        Ss     0:00 /usr/sbin/smartd -n
   1216 ?        Ssl    0:00 /usr/libexec/switcheroo-control
   1217 ?        Ss     0:00 /usr/lib/systemd/systemd-logind
   1218 ?        Ss     0:00 /usr/lib/systemd/systemd-machined
   1220 ?        Ssl    0:01 /usr/bin/touchegg --daemon
   1225 ?        Ssl    0:01 /usr/libexec/udisks2/udisksd
   1227 ?        Ss     0:00 /usr/sbin/virtlockd
   1231 ?        Ss     0:00 /usr/sbin/virtlogd
   1233 ?        Ssl    0:00 zed -F
   1239 ?        S      0:00 avahi-daemon: chroot helper
   1247 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
   1806 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
   1812 ?        Ss     0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1838 ?        Ssl    0:00 /usr/sbin/ModemManager
   1931 ?        S      0:00 [psimon]
   1940 ?        Ss     0:00 /usr/sbin/cupsd -l
   1953 ?        Ssl    0:01 /usr/bin/containerd
   1973 ?        Ssl    0:00 /usr/libexec/colord
   1985 ?        Ss     0:00 /usr/sbin/winbindd --foreground --no-process-group
   1996 ?        S      0:00 winbindd: domain child [A108PC12]
   2054 ?        Ssl    0:00 /usr/sbin/cups-browsed
   2055 ?        Ssl    0:02 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   2066 ?        Ss     0:00 /usr/sbin/cron -f -P
   2071 ?        Ss     0:00 /usr/sbin/rpc.idmapd
   2072 ?        Ss     0:00 /usr/sbin/rpc.statd
   2077 ?        Ss     0:00 /usr/sbin/rpc.mountd
   2120 ?        Ss     0:00 /usr/sbin/kerneloops --test
   2123 ?        SLsl   0:00 /usr/sbin/lightdm
   2128 ?        Ss     0:00 /usr/sbin/kerneloops
   2133 ?        I<     0:00 [kworker/R-ipmi-]
   2141 ?        I      0:00 [lockd]
   2155 ?        I<     0:00 [kworker/R-iprt-]
   2159 ?        S      0:00 [iprt-VBoxTscThread]
   2170 ?        I<     0:00 [kworker/R-tls-s]
   2199 tty7     Ssl+   1:06 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
   2206 tty1     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear - linux
   2216 ?        I      0:00 [nfsd]
   2217 ?        I      0:00 [nfsd]
   2218 ?        I      0:00 [nfsd]
   2219 ?        I      0:00 [nfsd]
   2220 ?        I      0:00 [nfsd]
   2221 ?        I      0:00 [nfsd]
   2222 ?        I      0:00 [nfsd]
   2223 ?        I      0:00 [nfsd]
   2266 ?        Ss     0:00 /usr/sbin/apache2 -k start
   2322 ?        S      0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2323 ?        S      0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   2335 ?        S      0:00 /usr/sbin/apache2 -k start
   2336 ?        S      0:00 /usr/sbin/apache2 -k start
   2337 ?        S      0:00 /usr/sbin/apache2 -k start
   2338 ?        S      0:00 /usr/sbin/apache2 -k start
   2339 ?        S      0:00 /usr/sbin/apache2 -k start
   2416 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   2495 ?        Ssl    0:00 /usr/libexec/upowerd
   2591 ?        Sl     0:00 lightdm --session-child 13 20
   3270 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5df934926b0f1fcae370ac4d81a091d31014ed4fc6bbd199b02e9a4020afa491 -address /run/containerd/containerd.sock
   3292 ?        Ss     0:00 apache2 -DFOREGROUND
   3366 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
   3372 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
   3404 ?        S      0:00 apache2 -DFOREGROUND
   3405 ?        S      0:00 apache2 -DFOREGROUND
   3406 ?        S      0:00 apache2 -DFOREGROUND
   3407 ?        S      0:00 apache2 -DFOREGROUND
   3408 ?        S      0:00 apache2 -DFOREGROUND
   3442 ?        Ss     0:00 /usr/lib/systemd/systemd --user
   3443 ?        S      0:00 (sd-pam)
   3452 ?        S<sl   0:00 /usr/bin/pipewire
   3453 ?        Ssl    0:00 /usr/bin/pipewire -c filter-chain.conf
   3455 ?        Ss     0:00 /usr/bin/python3 /usr/bin/powerline-daemon --foreground
   3456 ?        S<sl   0:00 /usr/bin/wireplumber
   3457 ?        S<sl   0:00 /usr/bin/pipewire-pulse
   3458 ?        SLsl   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1001/keyring
   3459 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   3484 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
   3697 ?        Sl     0:00 /usr/bin/csd-automount
   3698 ?        Sl     0:00 /usr/bin/csd-settings-remap
   3699 ?        Sl     0:00 /usr/bin/csd-power
   3701 ?        Sl     0:00 /usr/bin/csd-housekeeping
   3702 ?        Sl     0:00 /usr/bin/csd-wacom
   3703 ?        Sl     0:00 /usr/bin/csd-color
   3707 ?        Sl     0:00 /usr/bin/csd-background
   3708 ?        Sl     0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   3709 ?        Sl     0:00 /usr/bin/csd-screensaver-proxy
   3713 ?        Sl     0:00 /usr/bin/csd-xsettings
   3719 ?        Sl     0:00 /usr/bin/csd-keyboard
   3720 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1001/at-spi/bus_0
   3721 ?        Sl     0:00 /usr/bin/csd-media-keys
   3722 ?        Sl     0:00 /usr/bin/csd-clipboard
   3723 ?        Sl     0:00 /usr/bin/csd-print-notifications
   3724 ?        Sl     0:00 /usr/bin/csd-a11y-settings
   3730 ?        Ssl    0:00 /usr/libexec/dconf-service
   3768 ?        Ssl    0:00 /usr/libexec/gvfsd
   3778 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1001/gvfs -f
   3801 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   3804 ?        Sl     0:00 /usr/libexec/csd-printer
   3818 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   3833 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   3838 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   3843 ?        Sl     0:00 /usr/libexec/goa-daemon
   3851 ?        Sl     0:00 /usr/libexec/goa-identity-service
   3856 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   3863 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   3870 ?        Sl     0:00 cinnamon-launcher
   3874 ?        Sl     2:02 cinnamon --replace
   3907 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xapps/xapp-sn-watcher
   3931 ?        Sl     0:00 /usr/libexec/geoclue-2.0/demos/agent
   3948 ?        Sl     0:00 /usr/bin/nemo-desktop
   3955 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   3956 ?        Sl     0:00 cinnamon-killer-daemon
   3957 ?        Sl     0:00 /usr/bin/python3 /usr/bin/blueman-applet
   4066 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   4073 ?        Ss     0:00 /usr/libexec/bluetooth/obexd
   4094 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   4109 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   4138 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.32 /org/gtk/gvfs/exec_spaw/0
   4151 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   4171 ?        Sl     3:12 /usr/lib/firefox/firefox --private-window
   4176 ?        Sl     0:00 /usr/lib/firefox/crashhelper 4171 9 /tmp/ 10 12
   4194 ?        I<     0:00 [kworker/u69:3-ttm]
   4288 ?        Sl     0:04 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20250522210034 -prefsHandle 0:41688 -prefMapHandle 1:272880 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {f8015132-bd6e-46a2-bc90-6b7e4aea169d} -parentPid 4171 -crashReporter 5 -crashHelperPid 4176 -appDir /usr/lib/firefox/browser 1 socket
   4291 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal
   4308 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   4314 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   4321 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1001/doc
   4325 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal-xapp
   4333 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal-gtk
   4349 ?        Sl     0:02 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41764 -prefMapHandle 1:272880 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {57ca64cc-83ba-4352-8309-83b5ba9f9da1} -parentPid 4171 -crashReporter 6 -crashHelperPid 4176 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 2 tab
   4355 ?        Sl     0:22 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20250522210034 -prefsHandle 0:41764 -prefMapHandle 1:272880 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {e70ffd55-5f51-4220-b98b-0655942dfbc7} -parentPid 4171 -crashReporter 5 -crashHelperPid 4176 -appDir /usr/lib/firefox/browser 3 rdd
   4416 ?        Sl     0:09 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:50561 -prefMapHandle 1:272880 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {085b2d19-282c-4753-a7cc-2ad357255751} -parentPid 4171 -crashReporter 6 -crashHelperPid 4176 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 4 tab
   4468 ?        Sl     0:00 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20250522210034 -sandboxingKind 0 -prefsHandle 0:50705 -prefMapHandle 1:272880 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {a12fb96c-aeef-4c2b-b184-cfd330d6155c} -parentPid 4171 -crashReporter 5 -crashHelperPid 4176 -appDir /usr/lib/firefox/browser 5 utility
   4479 ?        Sl     0:18 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:40857 -prefMapHandle 1:272880 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {5ce23110-24c9-441c-98e8-ea5087c104cb} -parentPid 4171 -crashReporter 6 -crashHelperPid 4176 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 6 tab
   4632 ?        Sl     0:00 mintUpdate
   4692 ?        S      0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
   4726 ?        Sl     0:37 mintreport-tray
   6411 ?        I      0:00 [kworker/11:0-events]
   6920 ?        I      0:00 [kworker/4:0-rcu_par_gp]
   7012 ?        Ssl    0:00 /usr/libexec/fwupd/fwupd
   7026 ?        I      0:00 [kworker/u66:0-events_unbound]
   8590 ?        I      0:00 [kworker/2:0-rcu_gp]
   8595 ?        I      0:00 [kworker/3:2-events]
  10259 ?        I      0:00 [kworker/u66:2-events_unbound]
  10893 ?        I      0:00 [kworker/5:2-mm_percpu_wq]
  11146 ?        S      0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
  11147 ?        S      0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
  11754 ?        Sl     0:18 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41302 -prefMapHandle 1:272880 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {9c93749e-4b97-439b-a37c-be77f3ac2b28} -parentPid 4171 -crashReporter 6 -crashHelperPid 4176 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 10 tab
  11835 ?        Sl     0:03 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41302 -prefMapHandle 1:272880 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {a16a5f14-c99b-427a-bc81-c5ba85dcb09d} -parentPid 4171 -crashReporter 6 -crashHelperPid 4176 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 12 tab
  12084 ?        S      0:00 epoptes-client
  12085 ?        S      0:00 epoptes-client
  12192 ?        Sl     0:11 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41302 -prefMapHandle 1:272880 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {0a46bca9-8a92-41e2-82ef-016dc656b795} -parentPid 4171 -crashReporter 6 -crashHelperPid 4176 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 16 tab
  12483 ?        I      0:00 [kworker/u66:1-events_unbound]
  12507 ?        Ssl    0:00 /usr/libexec/gnome-terminal-server
  12516 pts/0    Ss+    0:00 bash
  12765 ?        SLsl   0:30 /usr/share/code/code acceso-a-datos/
  12774 ?        S      0:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
  12775 ?        S      0:00 /usr/share/code/code --type=zygote
  12777 ?        S      0:00 /usr/share/code/code --type=zygote
  12796 ?        Sl     0:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/dam/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=ffcbaf6f-6ad3-43ae-a094-29f0d95d234a&iid=ffcbaf6f-6ad3-43ae-a094-29f0d95d234a&sid=ffcbaf6f-6ad3-43ae-a094-29f0d95d234a --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.100.2 --annotation=lsb-release=Linux Mint 22.1 --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=34.5.1 --initial-client-fd=42 --shared-client-connection
  12813 ?        Sl     1:15 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=12796 --enable-crash-reporter=5cc31211-7a24-4340-a84b-f5c0e9b9b4e5,no_channel --user-data-dir=/home/dam/.config/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,12347340669773603908,4925906299807531634,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  12817 ?        Sl     0:04 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=es --service-sandbox-type=none --crashpad-handler-pid=12796 --enable-crash-reporter=5cc31211-7a24-4340-a84b-f5c0e9b9b4e5,no_channel --user-data-dir=/home/dam/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,12347340669773603908,4925906299807531634,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  12914 ?        Sl     0:42 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=es --service-sandbox-type=none --crashpad-handler-pid=12796 --enable-crash-reporter=5cc31211-7a24-4340-a84b-f5c0e9b9b4e5,no_channel --user-data-dir=/home/dam/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,12347340669773603908,4925906299807531634,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
